epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,15371.6,0.37526,1.75058,0.14827,0.2118,0.00801,0.40725,0.98299,0.9779,0.98633,0.94532,0.85454,0.84029,0.85372,0.7275,0.29259,1.77398,0.17809,0.18348,0.01192,0,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,15589.7,0.38441,1.74469,0.1481,0.21714,0.00816,0.42025,0.98248,0.97771,0.98607,0.94494,0.8552,0.83966,0.85407,0.72697,0.29251,1.77337,0.17765,0.18273,0.01192,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,15807.3,0.37969,1.74767,0.14677,0.21274,0.00811,0.44991,0.98065,0.97945,0.98629,0.94431,0.86919,0.83126,0.85481,0.72753,0.29152,1.77341,0.17731,0.18469,0.01187,0,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,16025.1,0.38132,1.73283,0.14537,0.21034,0.00819,0.41461,0.98368,0.97883,0.98628,0.9445,0.86844,0.83001,0.85375,0.72717,0.29003,1.77268,0.17688,0.18541,0.01178,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,16242.8,0.37206,1.74055,0.14581,0.21299,0.00791,0.4024,0.98109,0.97696,0.98607,0.9449,0.85306,0.84091,0.85234,0.72733,0.28836,1.76136,0.17646,0.18676,0.01171,0,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,16460.2,0.36905,1.73922,0.14492,0.20907,0.00787,0.41784,0.98406,0.97603,0.98609,0.94491,0.85348,0.84122,0.85145,0.72718,0.2881,1.76345,0.17617,0.1862,0.0117,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,16678,0.37655,1.73135,0.14429,0.20999,0.008,0.41409,0.98337,0.97563,0.98608,0.9453,0.85397,0.84278,0.85361,0.72895,0.28725,1.76056,0.17578,0.18506,0.01167,0,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,16895.9,0.37825,1.73811,0.14225,0.20849,0.00811,0.45623,0.98371,0.97762,0.98646,0.94551,0.86326,0.83533,0.85402,0.72867,0.28702,1.75328,0.17557,0.18231,0.01166,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,17113.5,0.37397,1.7136,0.14238,0.21062,0.00792,0.4011,0.98083,0.97852,0.98652,0.94609,0.8527,0.84247,0.85341,0.7291,0.2851,1.75022,0.17536,0.18432,0.01156,0,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,17330.9,0.36871,1.69967,0.14144,0.20923,0.00788,0.38272,0.9839,0.97914,0.98617,0.94632,0.86475,0.83437,0.85318,0.73024,0.28326,1.75089,0.17494,0.18157,0.01147,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
